VISIT_AREA_NM,X_COORD,Y_COORD,ADDR
스타벅스 제주칠성점,126.5252288,33.51328784,제주특별자치도 제주시 관덕로 55
꼬란,126.5676166,33.24963883,제주특별자치도 서귀포시 동문동로 2
섬게스트하우스,126.5629948,33.23994728,제주특별자치도 서귀포시 칠십리로 61-1
망고홀릭 제주본점,126.4919433,33.49072072,제주특별자치도 제주시 삼무로5길 2
우무 제주시점,126.5233793,33.50982593,제주특별자치도 제주시 관덕로8길 40-1
애월카페거리,126.3091689,33.46258716,제주특별자치도 제주시 애월읍 애월리
오설록티뮤지엄,126.2894893,33.30591329,제주특별자치도 서귀포시 안덕면 신화역사로 15
꼬르동게스트하우스,126.6740759,33.54236574,제주특별자치도 제주시 조천읍 함덕29길 25-4
컴포즈커피 서귀포서홍점,126.557032,33.25703281,제주특별자치도 서귀포시 홍중로 47
비지곶식당,126.8420456,33.52802132,제주특별자치도 제주시 구좌읍 일주동로 3002
쪼끌락,126.755193,33.55776256,제주특별자치도 제주시 구좌읍 김녕로21길 21
비케이브,126.7200188,33.50838157,제주특별자치도 제주시 조천읍 동백로 122
당당,126.3708807,33.47445241,제주특별자치도 제주시 애월읍 중엄안1길 25
애월빵공장앤카페,126.3016141,33.44827816,제주특별자치도 제주시 애월읍 금성5길 42-15
과물노천탕,126.3035086,33.44995855,제주특별자치도 제주시 애월읍 곽지리 1566
집의기록상점,126.2970093,33.44648684,제주특별자치도 제주시 한림읍 귀덕11길 58
도르르김밥,126.29664,33.44494123,제주특별자치도 제주시 한림읍 일주서로 5903-6
오전열한시,126.394258,33.26675834,제주특별자치도 서귀포시 상예로 248
한담해안산책로,126.3104683,33.45932345,제주특별자치도 제주시 애월읍 곽지리 1359
커피베이 제주공항국내선2호점,126.4959513,33.50593647,제주특별자치도 제주시 공항로 2 옆 인생네컷
도두동무지개해안도로,126.4713384,33.50911801,제주특별자치도 제주시 구좌읍 구좌로 40
머무르다,126.2996676,33.44691481,제주특별자치도 제주시 애월읍 금성1길 29-1
호텔케니모슬포,126.2523482,33.22623758,제주특별자치도 서귀포시 대정읍 하모중앙로 22
산방산,126.3133696,33.2415643,제주특별자치도 서귀포시 안덕면 사계리 산 16
메리아일랜드,126.2314884,33.38889976,제주특별자치도 제주시 한림읍 금능길 80
CU 서귀대정태화점,126.2521246,33.22338443,제주특별자치도 서귀포시 대정읍 하모중앙로 54
중문색달해수욕장,126.4114987,33.24503815,제주특별자치도 서귀포시 색달동 3039
과물치킨,126.3041988,33.44850457,제주특별자치도 제주시 애월읍 곽지1길 28
오멍가멍흑돼지 제주공항점,126.4746934,33.50924859,제주특별자치도 제주시 서해안로 272
곽지해수욕장,126.3046732,33.45065751,제주특별자치도 제주시 애월읍 곽지리 1565
나비스호텔,126.3915515,33.48645746,제주특별자치도 제주시 애월읍 애월해안로 885
잔물결,126.2297907,33.3881931,제주 제주시 한림읍 금능길 58-1 1층
포토이즘박스 서귀포올레시장점,126.5622585,33.24946681,제주특별자치도 서귀포시 중앙로54번길 14
새별오름,126.3577307,33.36627759,제주특별자치도 서귀포시 태평로 270
파리바게뜨 제주공항렌터카하우스점,126.4919499,33.50469721,제주특별자치도 제주시 용담이동 1999-8
서귀포매일올레시장,126.5632316,33.25015006,제주특별자치도 서귀포시 중앙로62번길 18
허니문하우스,126.5787127,33.24415532,제주특별자치도 서귀포시 칠십리로 228-13
인디안썸머,126.6369313,33.26249778,제주특별자치도 서귀포시 남원읍 하례망장포로26번길 3
물영아리,126.6920637,33.36839465,제주특별자치도 서귀포시 남원읍 수망리 산 188
호텔아나타,126.5286754,33.5136437,제주특별자치도 제주시 만덕로6길 31
올레마당,126.3087792,33.23315113,제주특별자치도 서귀포시 안덕면 사계남로 224
그러므로 파트2,126.4859477,33.46849066,제주특별자치도 제주시 수목원길 16-14
쇠소깍,126.6224051,33.25424607,제주특별자치도 서귀포시 쇠소깍로 104
성이시돌목장,126.3273211,33.34776988,제주특별자치도 제주시 한림읍 금악동길 35
올드패션,126.6882961,33.27527263,제주특별자치도 서귀포시 남원읍 태위로 383
문도지오름,126.2946137,33.32625021,제주특별자치도 제주시 한림읍 금악리 3445
오는정김밥,126.5676211,33.24959557,제주특별자치도 서귀포시 동문동로 2
사계해변,126.3085979,33.22865827,제주특별자치도 서귀포시 안덕면 사계리
곤밥2,126.5276893,33.51488233,제주특별자치도 제주시 서부두남길 8
사려니숲길,126.6264973,33.42203283,제주특별자치도 제주시 동문로 16
풀베개,126.3032247,33.28551286,제주특별자치도 서귀포시 안덕면 화순서서로 492-4
서귀포치유의숲,126.5279042,33.29193935,제주특별자치도 서귀포시 산록남로 2271
함쉐프키친,126.4312175,33.24087603,제주특별자치도 서귀포시 대포중앙로 116
벙커하우스,126.519224,33.24046292,제주특별자치도 서귀포시 막숙포로41번길 66
엘리펀트힙,126.522795,33.51746105,제주특별자치도 제주시 탑동로 20
일도가공,126.5266285,33.51400374,제주특별자치도 제주시 관덕로15길 9
숙성도 중문점,126.4075053,33.25833794,제주특별자치도 서귀포시 일주서로 966
데코보코,126.527798,33.51408213,제주특별자치도 제주시 관덕로17길 15
제주중문관광단지,126.4207342,33.24583526,제주특별자치도 서귀포시 중문관광로 227-20
스타벅스 제주노형점,126.481847,33.48763154,제주특별자치도 제주시 도령로 27
제주판타스틱버거,126.7789894,33.3084793,제주특별자치도 서귀포시 표선면 토산중앙로15번길 6
우럭의숲,126.5189893,33.51389497,제주특별자치도 제주시 무근성3길 9
마마롱,126.4391778,33.45215929,제주특별자치도 제주시 애월읍 평화로 2783
이호테우해수욕장,126.4526908,33.4973768,제주특별자치도 서귀포시 남원읍 태위로 522-12
게스트하우스7,126.5111536,33.50893801,제주특별자치도 제주시 용문로 168
제주곶서귀포해물라면,126.5732101,33.24486959,제주특별자치도 서귀포시 칠십리로214번길 36
서복공원,126.5704989,33.24479444,제주특별자치도 서귀포시 서귀동 93-19
쇠소깍전통나룻배 카약체험지점,126.622966,33.25208385,제주특별자치도 서귀포시 쇠소깍로 128
용연계곡,126.514431,33.51276463,제주특별자치도 제주시 용담일동 2581-4
제주동문재래야시장,126.5260174,33.51158875,제주특별자치도 제주시 관덕로14길 20
호텔화인 제주,126.5650436,33.24048913,제주특별자치도 서귀포시 칠십리로 87
정방폭포,126.5716053,33.24499661,제주특별자치도 서귀포시 동홍동 299-3
제주팜엔피쉬,126.5195967,33.5128578,제주특별자치도 제주시 관덕로 3
케렌시아카페,126.6191509,33.24942142,제주특별자치도 서귀포시 칠십리로658번길 27-18
하와,126.1990745,33.36537975,제주특별자치도 제주시 한경면 일주서로 4533-9
소남머리,126.569759,33.24339616,제주특별자치도 서귀포시 송산동
관덕정,126.5214571,33.51334915,제주특별자치도 제주시 관덕로 19
퐁당라면,126.1998092,33.3649337,제주특별자치도 제주시 한경면 일주서로 4533-3
자구리문화예술공원,126.5673829,33.24174695,제주특별자치도 서귀포시 칠십리로 120-12
하효쇠소깍해변,126.6229886,33.25133376,제주특별자치도 서귀포시 표선면 돈오름로 170
구피풋,126.5644572,33.2470816,제주특별자치도 서귀포시 이중섭로 11
새향원분식,126.5630861,33.24725081,제주특별자치도 서귀포시 중정로62번길 7
쎈얼큰이 본점,126.5628449,33.25107919,제주특별자치도 서귀포시 중정로91번길 44
다랑쉬,126.509462,33.50888084,제주특별자치도 제주시 용문로21길 4
덕성원 본점,126.5633865,33.24488959,제주특별자치도 서귀포시 태평로401번길 4
천지연폭포,126.5545223,33.24721232,제주특별자치도 서귀포시 서홍동 2565
약천사,126.4494585,33.24623622,제주특별자치도 서귀포시 이어도로 293-28
기흥어물,126.5631329,33.24841859,제주특별자치도 서귀포시 중정로61번길 6
흑돼지자투리구이식당,126.5601578,33.25110037,제주특별자치도 서귀포시 천지로 42
수렌트카,126.506516,33.50002634,제주특별자치도 제주시 서광로 94
CU 제주탑동로점,126.5232768,33.51674254,제주특별자치도 제주시 중앙로2길 15
다이소 서귀포중문점,126.4045181,33.25890071,제주특별자치도 서귀포시 일주서로 996
초콜릿랜드,126.4134525,33.24940041,제주특별자치도 서귀포시 중문관광로110번길 15
코너스톤호텔,126.5683775,33.24764436,제주특별자치도 서귀포시 정방로 7-10
남문주유소,126.5389333,33.48878031,제주특별자치도 제주시 중앙로 372
맥도날드 제주중문DT점,126.4137639,33.25482964,제주특별자치도 서귀포시 중문관광로 38
아프리카박물관,126.4293493,33.23974044,제주특별자치도 서귀포시 이어도로 49
제삼굽,126.4895672,33.48855796,제주특별자치도 제주시 제원길 15
앙뚜아네트 용담점,126.5088353,33.51618484,제주특별자치도 제주시 서해안로 671
리보스코화덕피자,126.4878591,33.46944615,제주특별자치도 제주시 수목원길 27
바다타이테라피,126.3320536,33.46780834,제주특별자치도 제주시 애월읍 애월해안로 179
국수마당 본점,126.5321927,33.50807077,제주특별자치도 제주시 삼성로 65
메종글래드제주,126.4885234,33.48527907,제주특별자치도 제주시 노연로 80
어반스테이 제주연동,126.4894474,33.48551008,제주특별자치도 제주시 연동6길 5
스타벅스 제주용담DT점,126.4844801,33.51248673,제주특별자치도 제주시 서해안로 380
용두암,126.5119571,33.51611062,제주특별자치도 제주시 용두암길 15
연동마라도횟집,126.4894611,33.48684449,제주특별자치도 제주시 신광로8길 3
롯데렌터카 제주오토하우스지점,126.5029805,33.50911917,제주특별자치도 제주시 용해로 92
피쉬어바웃,126.8012704,33.55635116,제주특별자치도 제주시 구좌읍 해맞이해안로 518
카페라라라,126.8579788,33.52487059,제주특별자치도 제주시 구좌읍 해맞이해안로 1430
아베끄0426,126.8357758,33.53953919,제주특별자치도 제주시 구좌읍 해맞이해안로 1084
벵디,126.8371702,33.53771981,제주특별자치도 제주시 구좌읍 해맞이해안로 1108
제주한림농협하나로마트,126.2638865,33.40997697,제주특별자치도 제주시 한림읍 한림상로 101
스타벅스 제주중문점,126.4126826,33.25123699,제주특별자치도 서귀포시 중문관광로110번길 32
제주백정,126.2650152,33.41152357,제주특별자치도 제주시 한림읍 한림중앙로 36
별오름 노형점,126.4813535,33.47600524,제주특별자치도 제주시 1100로 3213-27
해녀와바다,126.4654061,33.50649148,제주특별자치도 제주시 도두항서길 26
은혜전복,126.3101642,33.46295695,제주특별자치도 제주시 애월읍 애월로1길 24-3
큐티파이호텔,126.3687624,33.47786406,제주특별자치도 제주시 애월읍 애월해안로 610
노형수퍼마켙,126.4553556,33.46482488,제주 제주시 노형로 89
브라운스위트제주 호텔앤리조트,126.9144834,33.45203037,제주특별자치도 서귀포시 성산읍 고성오조로 94
리치호텔,126.3489409,33.47207433,제주특별자치도 제주시 애월읍 고내로13길 100
마레보비치호텔,126.3040513,33.4482558,제주특별자치도 제주시 애월읍 곽지1길 23
원담,126.5287635,33.50216858,제주특별자치도 제주시 동광로1길 13
스카이워터쇼,126.7430381,33.42410967,제주특별자치도 제주시 구좌읍 번영로 2172-80
그랑블루요트투어,126.4395496,33.23825406,제주특별자치도 서귀포시 대포로 172-7
교래손칼국수,126.6760803,33.43610298,제주특별자치도 제주시 조천읍 비자림로 645
소노벨 제주,126.6716679,33.54137664,제주특별자치도 제주시 조천읍 신북로 577
고향흑돼지,126.2535747,33.40774794,제주특별자치도 제주시 한림읍 한림해안로 29
검멀레해변,126.9669025,33.49717101,제주특별자치도 제주시 우도면 연평리
아쿠아플라넷 제주,126.9278459,33.43306804,제주특별자치도 서귀포시 성산읍 섭지코지로 95
뽀로로앤타요테마파크 제주,126.370822,33.30041823,제주특별자치도 서귀포시 안덕면 병악로 269
블랑로쉐,126.2714098,33.17434892,제주특별자치도 서귀포시 대정읍 가파로 239
소섬전복,126.9650897,33.49882225,제주특별자치도 제주시 우도면 우도해안길 1158
백가네제주한상,126.6711321,33.54239582,제주특별자치도 제주시 조천읍 함덕로 40
우무,126.2564457,33.40588987,제주특별자치도 제주시 한림읍 한림로 542-1
화로위,126.6699986,33.54120541,제주특별자치도 제주시 조천읍 함덕19길 9
제주항공우주박물관,126.2996871,33.3042428,제주특별자치도 서귀포시 안덕면 녹차분재로 218
생이기정,126.1674055,33.31551545,제주특별자치도 제주시 한경면 용수리
샤부돈,126.5215667,33.4959723,제주특별자치도 제주시 오남로 7-13
아루미호텔 협재점,126.2563815,33.40635471,제주특별자치도 제주시 한림읍 한림로 545
항파두리 항몽유적지,126.4079226,33.45274787,제주특별자치도 제주시 애월읍 항파두리로 50
어음리억새군락지,126.368172,33.37764356,제주특별자치도 서귀포시 중앙로62번길 18
르네상스호텔,126.5194316,33.50340488,제주특별자치도 제주시 서사로14길 1
우피후피,126.2563514,33.40636174,제주특별자치도 제주시 한림읍 한림로 545
대우정,126.5068107,33.23304981,제주특별자치도 서귀포시 이어도로 866-37
하라케케,126.5277197,33.24286405,제주특별자치도 서귀포시 속골로 29-10
금능샌드,126.2324636,33.38922135,제주특별자치도 제주시 한림읍 금능길 89
호텔 케니 서귀포,126.6935936,37.3429619,제주 서귀포시 동문로 42
맥도날드 제주서귀포DT점,126.5626838,33.25327138,제주특별자치도 서귀포시 일주동로 8665
숨도,126.536521,33.25045551,제주특별자치도 서귀포시 일주동로 8941
이중섭미술관,126.564888,33.24590378,제주특별자치도 서귀포시 이중섭로 27-3
천일만두,126.5590877,33.2505015,제주특별자치도 서귀포시 서문로 25
휴일로,126.366525,33.23220806,제주특별자치도 서귀포시 안덕면 난드르로 49-65
그시절그짬뽕,126.2636324,33.41588987,제주특별자치도 제주시 한림읍 한림북동길 7
미스틱3도,126.4875563,33.44994698,제주특별자치도 제주시 1100로 2894-49
고은물식당,126.3370279,33.23878674,제주특별자치도 서귀포시 안덕면 화순해안로 110
산양큰엉곶,126.2506311,33.29092307,제주특별자치도 제주시 한경면 청수리 956-6
수월,126.2791497,33.25817943,제주특별자치도 서귀포시 대정읍 추사로38번길 96
백약이오름,126.7897582,33.43680941,제주특별자치도 서귀포시 표선면 성읍리 산 1
마노르블랑,126.2949908,33.25481888,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46
파더스가든,126.3657532,33.27994208,제주특별자치도 서귀포시 안덕면 병악로 44-33
엘파소,126.3259368,33.24539007,제주특별자치도 서귀포시 안덕면 화순로 191-43
덴드리,126.8660544,33.36958969,제주특별자치도 서귀포시 성산읍 삼달로 28-1
송악산,126.2897914,33.19908294,제주특별자치도 서귀포시 대정읍 상모리 산 2
새빌,126.3629702,33.36431115,제주특별자치도 제주시 애월읍 평화로 1529
녹차동굴,126.7868648,33.38162923,제주특별자치도 서귀포시 표선면 성읍리 2192
제주커피박물관 바움,126.8991899,33.43990753,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17
표선농협하나로마트,126.8320072,33.32538489,제주특별자치도 서귀포시 표선면 표선동서로 237-2
해뜨는식당,126.9333244,33.46299109,제주특별자치도 서귀포시 성산읍 성산중앙로 38
에코랜드테마파크,126.6702787,33.44833873,제주특별자치도 제주시 조천읍 번영로 1278-169
엉덩물계곡,126.4134132,33.24821369,제주특별자치도 서귀포시 색달동 3384-4
호텔더본 제주,126.4064734,33.25954119,제주특별자치도 서귀포시 색달로 18
호텔더본 탐모라,126.4062336,33.25960496,제주특별자치도 서귀포시 색달로 18
색달생수천 생태문화공원,126.4059476,33.26016981,제주특별자치도 서귀포시 색달동 2137-6
파리바게트,126.4928172,33.5071423,공항로2 제주국제공항
구좌읍세화 월정리그때그집,126.8548339,33.52711193,제주특별자치도 제주시 구좌읍 세평항로 43
로로패들보드클럽,126.7983516,33.55471095,제주특별자치도 제주시 구좌읍 해맞이해안로 480-1
섭지해녀의집,126.9260327,33.43452759,제주특별자치도 서귀포시 성산읍 섭지코지로 93-15
아부오름,126.777215,33.44858418,제주특별자치도 서귀포시 중문관광로 346
에이스렌트카,126.4822886,33.50311189,제주특별자치도 제주시 다호북길 150
한림공원,126.2401849,33.38919042,제주특별자치도 제주시 한림읍 한림로 300
제주스테이인성산,126.9157145,33.43805443,제주특별자치도 서귀포시 성산읍 신고로 11
오르다,126.9354016,33.46885806,제주특별자치도 서귀포시 성산읍 한도로 269-37
털보네장어랜드,126.4863045,33.45468961,제주특별자치도 제주시 1100로 3001
소금바치순이네,126.9126333,33.50365241,제주특별자치도 제주시 구좌읍 해맞이해안로 2196
닭머르,126.6118969,33.53647489,제주특별자치도 제주시 조천읍 신촌리 3403
한림칼국수,126.2615064,33.41556709,제주특별자치도 제주시 한림읍 한림해안로 141
만장굴,126.7693513,33.52793252,제주특별자치도 제주시 구좌읍 만장굴길 182
신창풍차해안도로,126.174206,33.34308103,제주특별자치도 제주시 한경면 신창리 1322-1
어린왕자감귤밭,126.2818296,33.25329829,제주특별자치도 서귀포시 대정읍 추사로36번길 45-1
선인장자생지,126.2145323,33.37750932,제주특별자치도 제주시 한림읍 월령리
아침미소목장,126.5860158,33.45475699,제주특별자치도 제주시 첨단동길 160-20
서귀포잠수함,126.5586161,33.23930338,제주특별자치도 서귀포시 남성중로 40
먹고정,126.5624895,33.2472415,제주특별자치도 서귀포시 명동로 5-1
켄싱턴리조트 제주한림,126.2743683,33.43578804,제주특별자치도 제주시 한림읍 한림해안로 530
제스토리,126.5149177,33.23609313,제주특별자치도 서귀포시 막숙포로 60
BK호텔제주,126.5642037,33.24109028,제주특별자치도 서귀포시 칠십리로91번길 12
비자림,126.8099875,33.49040837,제주특별자치도 제주시 구좌읍 비자숲길 55
삼대국수회관 신제주점,126.4932121,33.48385759,제주특별자치도 제주시 신대로20길 32
해오름식당,126.9335313,33.46109332,제주특별자치도 서귀포시 성산읍 일출로 260
한라산국립공원,126.5422209,33.37666556,제주특별자치도 서귀포시 성산읍 성산등용로 112-7
HY초이호스텔,126.5583324,33.24706361,제주특별자치도 서귀포시 태평로335번길 11-1
늘봄흑돼지,126.4728666,33.47947934,제주특별자치도 제주시 한라대학로 12
도도돈까스,126.4360999,33.448795,제주특별자치도 제주시 애월읍 광령중길 133-1
제주목공방,126.4570627,33.45620501,제주특별자치도 제주시 해안마을7길 35-10
새별오름관광타운,126.3612093,33.36341312,제주특별자치도 제주시 애월읍 평화로 1529
랜디스도넛 제주애월점,126.3114282,33.46117162,제주특별자치도 제주시 애월읍 애월로 27-1
놀맨,126.6280113,33.43915259,제주특별자치도 제주시 애월읍 애월로1길 24
부촌,126.9170125,33.44897824,제주특별자치도 서귀포시 성산읍 동류암로 33
더포그레이스호텔앤리조트,126.9104483,33.47341478,제주특별자치도 서귀포시 성산읍 해맞이해안로 2670
썬셋클리프,126.3107068,33.46180954,제주특별자치도 제주시 애월읍 애월로1길 19-8
털보네 게스트하우스,126.3120093,33.46359831,제주특별자치도 제주시 애월읍 애월북서길 88
동남팔팔회센타,127.1209399,37.33820426,제주특별자치도 서귀포시 성산읍 고성오조로 48-2
스타벅스 제주성산DT점,126.9206949,33.44971096,제주특별자치도 서귀포시 성산읍 일출로 80
신신호텔 서귀포점,126.562581,33.24547733,제주특별자치도 서귀포시 태평로371번길 18
한담해변,126.3101829,33.46222496,제주특별자치도 제주시 애월읍 애월리
장한철 생가,126.309983,33.46246998,제주특별자치도 제주시 애월읍 애월로1길 26
카페테,126.437742,33.2517928,제주특별자치도 서귀포시 천제연로 311
CU 봄그리고가을리조트점,126.9110182,33.47414541,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660
소울빌리지 TRX GYM,128.7747888,37.27084365,제주특별자치도 서귀포시 남원읍 남태해안로 259
만달,126.4342363,33.2562769,제주특별자치도 서귀포시 일주서로 710
이서방흑돼지,126.9002312,33.47459683,제주특별자치도 서귀포시 성산읍 일주동로 3934-1
제주반딧불한담 애월점,126.3101064,33.46333087,제주특별자치도 제주시 애월읍 애월로1길 24-11
"오른(orrrn,오알엔)",127.2857888,36.49807102,제주특별자치도 서귀포시 성산읍 해맞이해안로 2714
페이보릿,126.918291,33.450015,제주특별자치도 서귀포시 성산읍 동류암로 20
조식,126.3331847,33.41052746,제주특별자치도 제주시 애월읍 어림비로 272
샐리스 제주,126.3416986,33.46468275,제주특별자치도 제주시 애월읍 고내로 46
살롱드라방,126.3489697,33.45785826,제주특별자치도 제주시 애월읍 하가로 146-9
신엄해녀의집,126.3668435,33.47838441,제주특별자치도 제주시 애월읍 애월해안로 591
봄날,127.7746131,37.46895919,제주 제주시 애월읍 애월로1길 25
앞뱅디식당,126.4999068,33.48532913,제주특별자치도 제주시 선덕로 32
서복전시관,126.5708889,33.24491119,제주특별자치도 서귀포시 칠십리로 156-8
제주애월항수산,126.3208835,33.46611037,제주특별자치도 제주시 애월읍 애월로11길 22
올래국수 본점,126.4972672,33.49152862,제주특별자치도 제주시 귀아랑길 24
제주도립김창열미술관,126.2686621,33.33906784,제주특별자치도 제주시 한림읍 용금로 883-5
우도,126.9348907,33.47296642,제주특별자치도 서귀포시 성산읍 성산등용로 130-21
중문회어시장,126.403934,33.25925856,제주특별자치도 서귀포시 색달로 1
라토커피,126.5281583,33.4986717,제주특별자치도 제주시 광양10길 20
어진이네횟집,126.6109255,33.24099184,제주특별자치도 서귀포시 보목포로 93
오션스타콘도,126.9265463,33.42734383,제주특별자치도 서귀포시 성산읍 섭지코지로 169
보롬왓,126.7524958,33.41349708,제주특별자치도 서귀포시 표선면 번영로 2350-104
미쁜제과,126.1800596,33.26916012,제주특별자치도 서귀포시 대정읍 도원남로 16
서귀포유람선,126.5586449,33.23933432,제주특별자치도 서귀포시 남성중로 40
네스트펜션,126.3930105,33.42641957,제주특별자치도 제주시 애월읍 유수암서길 67-2
본카페 애월,126.3320753,33.46778321,제주특별자치도 제주시 애월읍 애월해안로 179
민스마켓,126.9439571,33.50244796,제주특별자치도 제주시 우도면 우도해안길 248
드르쿰다in성산,126.9190809,33.4445023,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 64
명진전복,126.850185,33.5324709,제주특별자치도 제주시 구좌읍 해맞이해안로 1282
제주로렌트카,126.4803461,33.49967411,제주특별자치도 제주시 오일장중길 128
카페아이니,126.9577407,33.51640844,제주특별자치도 제주시 우도면 우도해안길 778
제주아트서커스,126.3448107,33.31439218,제주특별자치도 서귀포시 안덕면 동광로 214
국수한상,126.5369661,33.49245959,제주특별자치도 제주시 남광로 7
자매국수 본점,126.5170077,33.51681563,제주특별자치도 제주시 탑동로11길 6
김녕성세기해변 인증센터,126.7599219,33.55685761,제주특별자치도 제주시 구좌읍 김녕리 497-4
전망좋은집흑돼지,126.9325248,33.46067082,제주특별자치도 서귀포시 성산읍 일출로 248
다락쉼터 인증센터,126.3400567,33.46942267,제주특별자치도 제주시 애월읍 고내리 462
성산일출봉 인증센터,126.9242395,33.46864347,제주특별자치도 서귀포시 성산읍 오조리 2-3
법환바당 인증센터,126.5150605,33.2358809,제주특별자치도 서귀포시 막숙포로 61
어촌식당,126.8445003,33.32527312,제주특별자치도 서귀포시 표선면 민속해안로 578-7
쇠소깍 인증센터,126.6233451,33.25227975,제주특별자치도 서귀포시 하효동 995-4
